                  Temp     Hi    Low   Out    Dew  Wind  Wind   Wind    Hi    Hi   Wind   Heat    THW   THSW                Rain  Solar   Solar Hi Solar   UV    UV    Hi     Heat    Cool    In     In    In     In     In   In Air          Wind  Wind    ISS   Arc.
  Date    Time     Out   Temp   Temp   Hum    Pt. Speed   Dir    Run Speed   Dir  Chill  Index  Index  Index   Bar    Rain  Rate   Rad.  Energy    Rad.  Index  Dose   UV     D-D     D-D    Temp   Hum    Dew   Heat    EMC Density     ET   Samp   Tx   Recept  Int.
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
17/08/21 12:10a   19.7   19.7   19.7    96   19.1   0.9    SW   0.54   2.7   SSW   19.7   20.7   20.7   19.8   842.7  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.000   0.010   27.0    53   16.6   27.3   9.64  .9567     0.00   232    1    100.0   10 
17/08/21 12:20a   19.7   19.7   19.7    96   19.0   0.4    SW   0.27   1.8    SW   19.7   20.7   20.7   19.8   842.6  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.000   0.009   27.0    54   16.9   27.4   9.75  .9561     0.00   232    1    100.0   10 
17/08/21 12:30a   19.6   19.7   19.6    96   19.0   0.4    SW   0.27   3.1   SSW   19.6   20.6   20.6   19.7   842.5  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.000   0.009   27.0    54   16.9   27.4   9.75  .9561     0.00   234    1    100.0   10 
17/08/21 12:40a   19.6   19.6   19.4    96   18.9   0.4    SW   0.27   3.1    SW   19.6   20.5   20.5   19.6   842.6  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.000   0.008   27.0    54   16.9   27.4   9.75  .9561     0.00   232    1    100.0   10 
17/08/21 12:50a   19.4   19.5   19.4    95   18.6   0.0    SW   0.00   1.8    SW   19.4   20.3   20.3   19.4   842.5  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.000   0.008   27.0    55   17.2   27.4   9.85  .9557     0.00   233    1    100.0   10 
17/08/21  1:00a   19.3   19.4   19.3    96   18.7   0.9    SW   0.54   3.6    SW   19.3   20.2   20.2   19.3   842.5  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.000   0.007   27.0    54   16.9   27.4   9.75  .9560     0.00   232    1    100.0   10 
17/08/21  1:10a   19.3   19.3   19.3    96   18.7   0.4    SW   0.27   2.7    SW   19.3   20.2   20.2   19.3   842.6  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.000   0.007   26.9    54   16.8   27.3   9.75  .9564     0.00   231    1    100.0   10 
17/08/21  1:20a   19.3   19.3   19.3    96   18.7   0.4    SW   0.27   2.2    SW   19.3   20.2   20.2   19.3   842.6  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.000   0.007   26.9    54   16.8   27.3   9.75  .9567     0.00   233    1    100.0   10 
17/08/21  1:30a   19.3   19.3   19.3    96   18.6   0.4    SW   0.27   2.2    SW   19.3   20.2   20.2   19.3   842.8  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.000   0.007   26.9    54   16.8   27.3   9.75  .9569     0.00   234    1    100.0   10 
17/08/21  1:40a   19.3   19.3   19.2    96   18.6   0.4    SW   0.27   2.7    SW   19.3   20.2   20.2   19.3   842.9  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.000   0.007   26.9    55   17.1   27.3   9.85  .9566     0.00   233    1    100.0   10 
17/08/21  1:50a   19.2   19.3   19.2    96   18.6   0.4    SW   0.27   2.2    SW   19.2   20.1   20.1   19.2   843.0  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.000   0.006   26.9    53   16.5   27.2   9.64  .9575     0.00   232    1    100.0   10 
17/08/21  2:00a   19.2   19.2   19.2    96   18.6   0.0    SW   0.00   0.9    SW   19.2   20.1   20.1   19.2   842.8  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.000   0.006   26.9    54   16.8   27.3   9.75  .9569     0.00   232    1    100.0   10 
17/08/21  2:10a   19.2   19.2   19.1    96   18.5   0.0   ---   0.00   0.0   ---   19.2   20.0   20.0   19.1   842.8  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.000   0.006   26.9    55   17.1   27.3   9.85  .9565     0.00   230    1    100.0   10 
17/08/21  2:20a   19.1   19.1   19.0    96   18.4   0.0   ---   0.00   0.0   ---   19.1   19.9   19.9   19.0   842.7  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.000   0.005   26.9    54   16.8   27.3   9.75  .9567     0.00   233    1    100.0   10 
17/08/21  2:30a   19.0   19.0   18.9    96   18.3   0.0   ---   0.00   0.0   ---   19.0   19.8   19.8   18.9   842.5  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.000   0.005   26.9    54   16.8   27.3   9.75  .9566     0.00   232    1    100.0   10 
17/08/21  2:40a   18.9   18.9   18.9    96   18.3   0.0   ---   0.00   0.0   ---   18.9   19.7   19.7   18.8   842.5  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.000   0.004   26.9    54   16.8   27.3   9.75  .9565     0.00   233    1    100.0   10 
17/08/21  2:50a   18.8   18.9   18.8    96   18.2   0.0    SW   0.00   0.4    SW   18.8   19.6   19.6   18.7   842.5  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.000   0.003   26.9    54   16.8   27.3   9.75  .9565     0.00   232    1    100.0   10 
17/08/21  3:00a   18.8   18.8   18.8    97   18.3   0.0    SW   0.00   1.8    SW   18.8   19.6   19.6   18.7   842.6  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.000   0.003   26.9    55   17.1   27.3   9.85  .9562     0.00   232    1    100.0   10 
17/08/21  3:10a   18.8   18.9   18.8    97   18.3   0.0    SW   0.00   1.3    SW   18.8   19.6   19.6   18.7   842.5  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.000   0.003   26.9    54   16.8   27.3   9.75  .9566     0.00   230    1    100.0   10 
17/08/21  3:20a   18.9   19.0   18.9    97   18.5   0.9    SW   0.54   3.1    SW   18.9   19.8   19.8   18.9   842.4  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.000   0.004   26.9    54   16.8   27.3   9.75  .9564     0.00   230    1    100.0   10 
17/08/21  3:30a   19.1   19.1   19.0    96   18.4   0.4    SW   0.27   1.8    SW   19.1   19.9   19.9   19.0   842.3  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.000   0.005   26.9    55   17.1   27.3   9.85  .9559     0.00   230    1    100.0   10 
17/08/21  3:40a   19.1   19.1   19.1    96   18.5   0.9    SW   0.54   3.1    SW   19.1   19.9   19.9   19.1   842.2  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.000   0.005   26.9    54   16.8   27.3   9.75  .9562     0.00   232    1    100.0   10 
17/08/21  3:50a   19.2   19.2   19.1    96   18.5   0.4    SW   0.27   3.1    SW   19.2   20.0   20.0   19.1   842.2  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.000   0.006   26.9    54   16.8   27.3   9.75  .9562     0.00   233    1    100.0   10 
17/08/21  4:00a   19.2   19.3   19.2    96   18.6   0.4    SW   0.27   1.8    SW   19.2   20.1   20.1   19.2   842.2  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.000   0.006   26.9    54   16.8   27.3   9.75  .9562     0.00   233    1    100.0   10 
17/08/21  4:10a   19.3   19.3   19.3    96   18.6   0.0    SW   0.00   1.8    SW   19.3   20.2   20.2   19.3   842.2  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.000   0.007   26.9    54   16.8   27.3   9.75  .9562     0.00   232    1    100.0   10 
17/08/21  4:20a   19.3   19.3   19.3    95   18.5   0.4    SW   0.27   1.8    SW   19.3   20.2   20.2   19.3   842.1  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.000   0.007   26.9    54   16.8   27.3   9.75  .9561     0.00   232    1    100.0   10 
17/08/21  4:30a   19.4   19.4   19.3    95   18.6   0.0    SW   0.00   1.3    SW   19.4   20.3   20.3   19.4   842.1  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.000   0.007   26.9    53   16.5   27.2   9.64  .9564     0.00   231    1    100.0   10 
17/08/21  4:40a   19.4   19.4   19.4    95   18.6   0.0    SW   0.00   1.3    SW   19.4   20.3   20.3   19.4   842.0  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.000   0.007   26.9    54   16.8   27.3   9.75  .9559     0.00   231    1    100.0   10 
17/08/21  4:50a   19.4   19.4   19.4    95   18.6   0.0    SW   0.00   1.8    SW   19.4   20.3   20.3   19.4   842.0  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.000   0.008   26.9    55   17.1   27.3   9.85  .9556     0.00   231    1    100.0   10 
17/08/21  5:00a   19.4   19.5   19.4    95   18.6   0.4    SW   0.27   1.8    SW   19.4   20.3   20.3   19.4   842.0  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.000   0.008   26.9    53   16.5   27.2   9.64  .9563     0.00   233    1    100.0   10 
17/08/21  5:10a   19.5   19.6   19.5    95   18.7   0.0    SW   0.00   1.3    SW   19.5   20.4   20.4   19.5   842.0  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.000   0.008   26.9    54   16.8   27.3   9.75  .9560     0.00   232    1    100.0   10 
17/08/21  5:20a   19.5   19.6   19.5    94   18.5   0.0    SW   0.00   1.3    SW   19.5   20.4   20.4   19.5   842.1  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.000   0.008   26.9    55   17.1   27.3   9.85  .9557     0.00   231    1    100.0   10 
17/08/21  5:30a   19.6   19.6   19.5    94   18.6   0.0    SW   0.00   1.8    SW   19.6   20.4   20.4   19.6   842.3  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.000   0.008   26.9    54   16.8   27.3   9.75  .9563     0.00   232    1    100.0   10 
17/08/21  5:40a   19.6   19.6   19.6    94   18.6   0.0    SW   0.00   1.8    SW   19.6   20.4   20.4   19.6   842.3  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.000   0.008   26.9    55   17.1   27.3   9.85  .9559     0.00   230    1    100.0   10 
17/08/21  5:50a   19.6   19.6   19.6    94   18.6   0.4    SW   0.27   2.2    SW   19.6   20.6   20.6   19.7   842.3  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.000   0.009   26.9    55   17.1   27.3   9.85  .9559     0.00   233    1    100.0   10 
17/08/21  6:00a   19.6   19.7   19.6    94   18.6   0.4    SW   0.27   2.2    SW   19.6   20.6   20.6   19.7   842.3  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.000   0.009   26.8    56   17.3   27.3  10.05  .9557     0.00   233    1    100.0   10 
17/08/21  6:10a   19.7   19.7   19.7    94   18.7   0.0    SW   0.00   1.3    SW   19.7   20.6   20.6   19.7   842.2  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.000   0.009   26.8    57   17.6   27.4  10.16  .9552     0.00   226    1     99.1   10 
17/08/21  6:20a   19.7   19.7   19.7    94   18.7   0.0   ---   0.00   0.0   ---   19.7   20.6   20.6   19.7   842.3  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.000   0.009   26.8    58   17.9   27.5  10.35  .9549     0.00   227    1     99.6   10 
17/08/21  6:30a   19.6   19.7   19.6    94   18.6   0.4    SW   0.27   1.8    SW   19.6   20.6   20.6   19.7   842.4  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.000   0.009   26.8    58   17.9   27.5  10.35  .9550     0.00   229    1    100.0   10 
17/08/21  6:40a   19.6   19.6   19.6    94   18.6   0.4    SW   0.27   1.8    SW   19.6   20.6   20.6   19.7   842.4  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.000   0.009   26.8    58   17.9   27.5  10.35  .9550     0.00   227    1     99.6   10 
17/08/21  6:50a   19.6   19.6   19.6    94   18.6   0.9    SW   0.54   2.2    SW   19.6   20.6   20.6   19.7   842.4  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.000   0.009   26.8    58   17.9   27.5  10.35  .9550     0.00   227    1     99.6   10 
17/08/21  7:00a   19.6   19.6   19.6    94   18.6   0.9    SW   0.54   2.7    SW   19.6   20.6   20.6   19.7   842.5  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.000   0.009   26.8    58   17.9   27.5  10.35  .9551     0.00   231    1    100.0   10 
17/08/21  7:10a   19.6   19.6   19.6    94   18.6   1.3    SW   0.80   3.1    SW   19.6   20.6   20.6   19.7   842.4  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.000   0.009   26.8    58   17.9   27.5  10.35  .9550     0.00   227    1     99.6   10 
17/08/21  7:20a   19.6   19.6   19.6    94   18.6   1.3    SW   0.80   3.6    SW   19.6   20.6   20.6   19.7   842.5  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.000   0.009   26.8    58   17.9   27.5  10.35  .9552     0.00   229    1    100.0   10 
